X;Y;osm_id;name;operator;accepts_bottle;indoor;offers_cold_water;offers_warm_water;offers_hot_water;fee;description;com_insee;com_nom
5.7341989;44.8471280004821;node/8818226323;;;;;;;;;;"38403";Saint-Jean-d'Hérans
5.7617055;44.8534616004816;node/8825928922;;;;;;;;;;"38403";Saint-Jean-d'Hérans
5.468254;45.4323761004212;node/8832743585;;;;;;;;;;"38287";Oyeu
4.9465969;45.3794297004276;node/8832749619;;;;;;;;;;"38037";Bellegarde-Poussieu
5.5908566;45.1167074004567;node/8839938985;La Grande Fontaine;;;;;;;;;"38205";Lans-en-Vercors
4.8737551;45.5244938004097;node/8845759177;;;;;;;;;;"38544";Vienne
5.7984457;44.847873900482;node/8849344173;;;;;;;;;;"38456";Châtel-en-Trièves
5.5912578;44.7761293004881;node/8852651457;;;;;;;;;;"38301";Le Percy
4.8712007;45.5230241004099;node/8861427317;;;;;;;;;;"38544";Vienne
4.8723853;45.5241658004098;node/8861904800;;;;;;;;;;"38544";Vienne
5.657798;45.2078950004471;node/8865910387;;;;;;;;;;"38474";Sassenage
5.6567686;45.2089403004469;node/8868717971;;;;;;;;;;"38474";Sassenage
5.6573883;45.2099076004468;node/8868722841;;;;;;;;;;"38474";Sassenage
5.6590973;45.208296100447;node/8868722842;;;;;;;;;;"38474";Sassenage
5.8614674;45.1602414004521;node/8878061398;;;;;;;;;;"38422";Saint-Martin-d'Uriage
5.1919621;45.5125872004112;node/8887404348;;;yes;;;;;no;;"38231";Meyrieu-les-Étangs
5.7761042;44.9947057004687;node/8907860431;;;;;;;;;;"38462";Saint-Théoffrey
5.9034672;45.0919972004592;node/8908144617;Lavoir;;;;;;;;;"38212";Livet-et-Gavet
5.7959371;45.002610000468;node/8909269594;;;;;;;;;;"38106";Cholonge
5.7735159;45.2621367004411;node/890946303;;;;;;;;;;"38471";Le Sappey-en-Chartreuse
5.9481067;44.8195602004845;node/8915973999;;;;;;;;;;"38128";Corps
5.5488775;44.8931481004781;node/8935723542;;;;;;;;no;;"38186";Gresse-en-Vercors
5.8137511;45.342389000432;node/8980773867;;;yes;;;;;;;"38442";Saint-Pierre-de-Chartreuse
5.8711078;45.2312067004445;node/8984055864;;;yes;;;;;no;;"38538";Le Versoud
5.7871858;45.1118576004572;node/8987883153;;;;;;;;;;"38059";Brié-et-Angonnes
5.7755837;45.2571204004417;node/8989448372;;;;;;;;;;"38471";Le Sappey-en-Chartreuse
5.312373;45.8475143003655;node/8990680107;;;;;;;;;;"38026";La Balme-les-Grottes
5.3111994;45.8462827003657;node/8990680108;;;;;;;;;;"38026";La Balme-les-Grottes
5.4451728;45.2442973004431;node/8992517118;;;;;;;;;;"38074";Chantesse
5.8111051;45.0372110004647;node/8999483346;;;;;;;;;;"38364";Saint-Barthélemy-de-Séchilienne
5.8416883;45.0265476004657;node/8999483659;;;;;;;;;;"38264";La Morte
5.9683313;44.9842022004698;node/9004588621;;;;;;;;;;"38073";Chantepérier
5.9594963;44.9736723004707;node/9007725226;;;;;;;;;;"38073";Chantepérier
5.2988046;45.8043190003717;node/9010717425;;;;;;;;;;"38190";Hières-sur-Amby
5.7726189;44.9571288004723;node/9013735792;;;yes;;;;;no;;"38304";Pierre-Châtel
5.2181242;45.1757573004505;node/9029899624;;;;;;;;no;;"38359";Saint-Antoine l'Abbaye
5.3367331;45.064304600462;node/9038943064;;;;;;;;;;"38319";Pont-en-Royans
5.5518107;45.1827357004498;node/9043696551;;;;;;;;;;"38225";Autrans-Méaudre en Vercors
5.5605527;45.1736932004507;node/9043725343;;;;;;;;;;"38225";Autrans-Méaudre en Vercors
5.5424389;45.1775144004503;node/9048883707;;;;;;;;yes;;"38225";Autrans-Méaudre en Vercors
5.3395777;45.0859302004598;node/9051705825;;;;;;;;;;"38356";Saint-André-en-Royans
5.9583319;45.2660784004407;node/9067256076;;;;;;;;;;"38002";Les Adrets
5.7236968;45.1759379004505;node/9074002517;;;;;;;;;;"38185";Grenoble
6.0377169;45.4277669004218;node/9074293519;;;;;;;;;;"38426";Saint-Maximin
6.033648;45.4295594004216;node/9077312074;;;;;;;;;;"38426";Saint-Maximin
5.272431;45.5888798004014;node/9080866020;;;;;;;;;;"38053";Bourgoin-Jallieu
5.25011;45.3939394004259;node/9092373886;;;;;;;;;;"38130";La Côte-Saint-André
5.2655438;45.3870139004267;node/9092373887;;;;;;;;;;"38130";La Côte-Saint-André
5.2260717;45.6254155003966;node/9092384620;;;;;;;;;;"38193";L'Isle-d'Abeau
5.9315125;45.3431590004319;node/9093684817;Eau potable;;;;;;;;;"38511";Le Touvet
5.7414679;45.151877400453;node/9103578296;;;;;;;;;;"38158";Eybens
5.9374329;45.3273199004337;node/9110040119;;;;no;;;;;;"38503";La Terrasse
5.4477301;45.5632639004047;node/9111800704;;;;;;;;;;"38509";La Tour-du-Pin
6.1198571;45.3352277004328;node/912437278;;;;;;;;;;"38163";Le Haut-Bréda
6.1584564;45.3367960004326;node/912526874;;;;;;;;;Source captée avec un tuyau;"38163";Le Haut-Bréda
5.683186;45.2314105004445;node/9133378520;Eau potable;;;;;;;;;"38382";Saint-Égrève
5.5062271;45.236329900444;node/9140152539;;;;;;;;;;"38338";La Rivière
5.5076285;45.235939200444;node/9140152548;;;;;;;;;;"38338";La Rivière
5.6087767;45.114104900457;node/9160150656;;;;;;;;;;"38205";Lans-en-Vercors
5.9072056;45.3025812004365;node/917036651;;;;;;;;;;"38214";Lumbin
5.1712923;45.7483750003797;node/9207339161;;;;;;;;;;"38316";Pont-de-Chéruy
5.6944665;44.7908126004869;node/9210192153;;;;;;;;;;"38321";Prébois
5.6955777;44.7881506004871;node/9210192174;;;;;;;;;;"38321";Prébois
5.4765642;45.0424145004641;node/9216408710;Ruisseau/ fontaine / eau;;;;;;;;possibilité de faire le plein en eau;"38548";Villard-de-Lans
5.7429512;45.2055994004473;node/9216645817;;;;;;;;;;"38516";La Tronche
5.7930572;44.8190393004845;node/9217135857;;;;;;;;;;"38226";Mens
5.6039949;44.836748300483;node/9244089752;;;;;;;;;;"38419";Saint-Martin-de-Clelles
5.8393442;45.2018197004477;node/9246706213;;;;;;;;;;"38150";Domène
5.6135596;45.0143604004669;node/9251479146;;;yes;;;;;no;;"38187";Le Gua
5.7135976;45.1953550004484;node/9271962318;;;;;;;;;;"38185";Grenoble
5.7770015;45.2135657004464;node/9312513295;;;;no;;;;;;"38229";Meylan
5.7547391;45.2047660004474;node/9312513306;;;;no;;;;;;"38229";Meylan
5.8869557;45.2427823004432;node/9347377427;;;;;;;;;;"38547";Villard-Bonnot
5.776369;45.3142314004352;node/9365256161;;;;;;;;;"Water without sanitary control.
Eau sans contrôle sanitarie.";"38442";Saint-Pierre-de-Chartreuse
5.5248751;45.0856254004599;node/9370942464;;;yes;;;;;no;;"38548";Villard-de-Lans
5.5263054;45.0325486004651;node/9372802056;;;;;;;;;;"38129";Corrençon-en-Vercors
5.9641299;45.4590232004179;node/9372803530;;;;;;;;;;"38075";Chapareillan
6.0889943;45.4328214004212;node/937545998;;;yes;;;;;;;"38268";Le Moutaret
5.9456868;45.3550209004305;node/9397413705;;;;;;;;;;"38511";Le Touvet
5.2924062;45.401461100425;node/9400742891;;;;;;;;;;"38180";Gillonnay
5.9129869;45.1636337004518;node/940159227;;;;;;;;;;"38334";Revel
5.9732319;45.0300147004654;node/9434052437;;;;;;;;;;"38285";Ornon
5.9734986;45.0300570004653;node/9434052438;;;;;;;;;;"38285";Ornon
5.9730906;45.0292919004654;node/9434052439;;;;;;;;;;"38285";Ornon
5.7319837;45.1886633004491;node/9458127321;;;;;;;;;;"38185";Grenoble
